Group Name,Group Title,Component Name,Component Title
category-pages,Category Pages,01,01
category-pages,Category Pages,02,02
category-pages,Category Pages,03,03
category-pages,Category Pages,04,04
category-pages,Category Pages,05,05
product-pages,Product Pages,01,01
product-pages,Product Pages,02,02
product-pages,Product Pages,03,03
product-pages,Product Pages,04,04
product-pages,Product Pages,05,05
shopping-cart-pages,Shopping Cart Pages,01,01
shopping-cart-pages,Shopping Cart Pages,02,02
shopping-cart-pages,Shopping Cart Pages,03,03
order-history-pages,Order History Pages,01,01
order-history-pages,Order History Pages,02,02
order-history-pages,Order History Pages,03,03
order-history-pages,Order History Pages,04,04
order-history-pages,Order History Pages,05,05
checkout-pages,Checkout Pages,01,01
checkout-pages,Checkout Pages,02,02
checkout-pages,Checkout Pages,03,03
checkout-pages,Checkout Pages,04,04
checkout-pages,Checkout Pages,05,05
store-front-pages,Store Front Pages,01,01
store-front-pages,Store Front Pages,02,02
store-front-pages,Store Front Pages,03,03
store-front-pages,Store Front Pages,04,04
order-detail-pages,Order Detail Pages,01,01
order-detail-pages,Order Detail Pages,02,02
order-detail-pages,Order Detail Pages,03,03
product-features,Product Features,01,01
product-features,Product Features,02,02
product-features,Product Features,03,03
product-features,Product Features,04,04
product-features,Product Features,05,05
product-features,Product Features,06,06
product-features,Product Features,07,07
product-features,Product Features,08,08
product-features,Product Features,09,09
product-quick-views,Product Quick Views,01,01
product-quick-views,Product Quick Views,02,02
product-quick-views,Product Quick Views,03,03
product-quick-views,Product Quick Views,04,04
incentives,Incentives,01,01
incentives,Incentives,02,02
incentives,Incentives,03,03
incentives,Incentives,04,04
incentives,Incentives,05,05
incentives,Incentives,06,06
incentives,Incentives,07,07
incentives,Incentives,08,08
product-overviews,Product Overviews,01,01
product-overviews,Product Overviews,02,02
product-overviews,Product Overviews,03,03
product-overviews,Product Overviews,04,04
product-overviews,Product Overviews,05,05
category-previews,Category Previews,01,01
category-previews,Category Previews,02,02
category-previews,Category Previews,03,03
category-previews,Category Previews,04,04
category-previews,Category Previews,05,05
category-previews,Category Previews,06,06
store-navigation,Store Navigation,01,01
store-navigation,Store Navigation,02,02
store-navigation,Store Navigation,03,03
store-navigation,Store Navigation,04,04
store-navigation,Store Navigation,05,05
order-summaries,Order Summaries,01,01
order-summaries,Order Summaries,02,02
order-summaries,Order Summaries,03,03
order-summaries,Order Summaries,04,04
promo-sections,Promo Sections,01,01
promo-sections,Promo Sections,02,02
promo-sections,Promo Sections,03,03
promo-sections,Promo Sections,04,04
promo-sections,Promo Sections,05,05
promo-sections,Promo Sections,06,06
promo-sections,Promo Sections,07,07
promo-sections,Promo Sections,08,08
checkout-forms,Checkout Forms,01,01
checkout-forms,Checkout Forms,02,02
checkout-forms,Checkout Forms,03,03
checkout-forms,Checkout Forms,04,04
checkout-forms,Checkout Forms,05,05
category-filters,Category Filters,01,01
category-filters,Category Filters,02,02
category-filters,Category Filters,03,03
category-filters,Category Filters,04,04
category-filters,Category Filters,05,05
product-lists,Product Lists,01,01
product-lists,Product Lists,02,02
product-lists,Product Lists,03,03
product-lists,Product Lists,04,04
product-lists,Product Lists,05,05
product-lists,Product Lists,06,06
product-lists,Product Lists,07,07
product-lists,Product Lists,08,08
product-lists,Product Lists,09,09
product-lists,Product Lists,10,10
product-lists,Product Lists,11,11
order-history,Order History,01,01
order-history,Order History,02,02
order-history,Order History,03,03
order-history,Order History,04,04
shopping-carts,Shopping Carts,01,01
shopping-carts,Shopping Carts,02,02
shopping-carts,Shopping Carts,03,03
shopping-carts,Shopping Carts,04,04
shopping-carts,Shopping Carts,05,05
shopping-carts,Shopping Carts,06,06
reviews,Reviews,01,01
reviews,Reviews,02,02
reviews,Reviews,03,03
reviews,Reviews,04,04
landing,Landing,01,01
landing,Landing,02,02
landing,Landing,03,03
contact,Contact,01,01
contact,Contact,02,02
contact,Contact,03,03
contact,Contact,04,04
404,404,01,01
404,404,02,02
404,404,03,03
404,404,04,04
404,404,05,05
404,404,06,06
pricing,Pricing,01,01
pricing,Pricing,02,02
pricing,Pricing,03,03
pricing,Pricing,04,04
pricing,Pricing,05,05
pricing,Pricing,06,06
footer,Footer,01,01
footer,Footer,02,02
footer,Footer,03,03
footer,Footer,04,04
footer,Footer,05,05
footer,Footer,06,06
footer,Footer,07,07
contact,Contact,01,01
contact,Contact,02,02
contact,Contact,03,03
contact,Contact,04,04
contact,Contact,05,05
contact,Contact,06,06
contact,Contact,07,07
faq,Faq,01,01
faq,Faq,02,02
faq,Faq,03,03
faq,Faq,04,04
faq,Faq,05,05
faq,Faq,06,06
faq,Faq,07,07
faq,Faq,08,08
faq,Faq,09,09
cta,Cta,01,01
cta,Cta,02,02
cta,Cta,03,03
cta,Cta,04,04
cta,Cta,05,05
cta,Cta,06,06
cta,Cta,07,07
cta,Cta,08,08
content,Content,01,01
content,Content,02,02
content,Content,03,03
content,Content,04,04
content,Content,05,05
content,Content,06,06
blog,Blog,01,01
blog,Blog,02,02
blog,Blog,03,03
team,Team,01,01
team,Team,02,02
team,Team,03,03
team,Team,04,04
team,Team,05,05
team,Team,06,06
team,Team,07,07
team,Team,08,08
testimonial,Testimonial,01,01
testimonial,Testimonial,02,02
testimonial,Testimonial,03,03
testimonial,Testimonial,04,04
testimonial,Testimonial,05,05
feature,Feature,01,01
feature,Feature,02,02
feature,Feature,03,03
feature,Feature,04,04
feature,Feature,05,05
feature,Feature,06,06
feature,Feature,07,07
feature,Feature,08,08
feature,Feature,09,09
feature,Feature,10,10
logo-cloud,Logo Cloud,01,01
